run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57782.92576003945,130624.93417816254,117500.22662223733,408556.75506769423,64976.870604567375,66539.90286028027,63635.765603165164,126606.18318425867,59074.075750481905,368577.0716273878
37735.847229003775,48790.553854113175,117500.22662223733,408556.75506769423,64976.870604567375,66539.90286028027,24482.01253986065,61992.761035135525,59074.075750481905,67263.10376855044
37735.847229003775,48790.553854113175,76508.05257466942,157304.32197905818,64976.870604567375,57428.50125115781,24482.01253986065,61992.761035135525,59074.075750481905,67263.10376855044
32213.75893433301,40663.89592481073,76508.05257466942,75636.47626204391,54731.38238075639,57428.50125115781,11683.164901526332,30044.906499042892,59074.075750481905,67263.10376855044
24111.911926165783,40663.89592481073,57588.3757310489,47421.22779717913,54731.38238075639,33142.60487155331,11683.164901526332,30044.906499042892,59074.075750481905,67263.10376855044
24111.911926165783,40663.89592481073,57588.3757310489,47421.22779717913,39037.02375209032,25560.13890717224,11683.164901526332,30044.906499042892,45808.986958284055,57076.98404291711
17837.464573691825,40663.89592481073,57588.3757310489,35872.97742701322,39037.02375209032,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,40663.89592481073,57588.3757310489,35872.97742701322,39037.02375209032,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,40663.89592481073,57588.3757310489,35872.97742701322,39037.02375209032,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,40663.89592481073,49541.28467933474,22866.247143181332,28425.37597434547,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,40131.55741514045,49541.28467933474,22866.247143181332,28425.37597434547,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,21756.17430766567,49541.28467933474,22866.247143181332,28425.37597434547,25560.13890717224,11683.164901526332,29255.46928057004,42876.10234407915,23899.887651322788
17837.464573691825,21756.17430766567,49541.28467933474,22866.247143181332,28425.37597434547,25560.13890717224,11683.164901526332,29255.46928057004,35211.96824160509,22224.091787735702
17837.464573691825,21756.17430766567,49541.28467933474,18587.568308223897,28425.37597434547,25560.13890717224,11683.164901526332,29255.46928057004,35211.96824160509,22224.091787735702
17837.464573691825,21756.17430766567,49541.28467933474,18587.568308223897,28425.37597434547,25560.13890717224,11683.164901526332,27150.00750680291,35211.96824160509,15604.794682357127
17837.464573691825,21756.17430766567,49541.28467933474,18587.568308223897,28425.37597434547,25560.13890717224,11683.164901526332,27150.00750680291,35211.96824160509,15604.794682357127
17837.464573691825,21756.17430766567,38724.02758805959,18587.568308223897,28425.37597434547,25560.13890717224,11683.164901526332,27150.00750680291,26499.095593274466,15604.794682357127
17837.464573691825,21756.17430766567,34289.63146119236,18587.568308223897,28425.37597434547,25560.13890717224,11683.164901526332,27150.00750680291,26499.095593274466,15604.794682357127
17837.464573691825,21756.17430766567,34289.63146119236,18587.568308223897,28425.37597434547,25560.13890717224,10406.102242602543,25968.10453436918,26499.095593274466,11753.251591702961
